filename	AC Accuracy V0	DICE V0	ER V0	Jaccard V0	SE Sensitivity V0	SP Specificity V0
ISIC_0000000	0,9590648497	0,9582462596	0,0409351503	0,9198395192	0,9999945683	0,9228076591
ISIC_0000001	0,927198759	0,6595027417	0,072801241	0,4919836557	1	0,9216766766
ISIC_0000002	0,9839323667	0,9735398604	0,0160676333	0,9484439023	0,9623934606	0,9934802382
ISIC_0000003	0,9376034924	0,9151685754	0,0623965076	0,8436044113	1	0,9059487045
ISIC_0000005	0,9765740412	0,9501313049	0,0234259588	0,9050001293	0,9291944205	0,991549868
ISIC_0000006	0,865588092	0,5771311607	0,134411908	0,4056109353	1	0,8520144668
ISIC_0000007	0,955080791	0,7967794996	0,044919209	0,6622057215	1	0,9507433059
ISIC_0000008	0,9076688345	0,8796557412	0,0923311655	0,7851655723	0,9998903778	0,8606913922
ISIC_0000009	0,9630616655	0,9260742908	0,0369383345	0,8623262139	0,9999393512	0,9519603254
ISIC_0000010	0,9600318419	0,8030129648	0,0399681582	0,6708618733	1	0,9564870781
						
						
	0,9435804734	0,8439242399	0,0564195266	0,7495041934	0,9891412178	0,9307359715
