filename	AC Accuracy V0	Compact PPM V0	DICE V0	ER V0	FPR V0	Jaccard V0	SE Sensitivity V0	SP Specificity V0	
ISIC_0000013	0.9725733983	0.5153803217	0.9526143755	0.02742660172	0.03775539143	0.9095163741	0.9996993066	0.9622446086	
ISIC_0000014	0.9633920758	0.3705269329	0.9302051816	0.03660792423	0.0	0.8695173743	0.8695173743	1.0	
ISIC_0000022	0.8527346032	0.286039239	0.7804749577	0.1472653968	0.0	0.6399827232	0.6399827232	1.0	
ISIC_0000025	0.9811444651	0.3405113391	0.9495607022	0.01885553493	0.0002490904535	0.9039653259	0.9048881549	0.9997509095	
ISIC_0000049	0.6649083401	0.2440987673	0.6568947458	0.3350916599	0.0	0.4890865729	0.4890865729	1.0	
ISIC_0000040	0.8861960076	0.4396886675	0.7311912019	0.1138039924	0.0	0.5762816296	0.5762816296	1.0	
ISIC_0000047	0.9725726966	0.4977352858	0.9411685939	0.02742730339	0.0	0.8888748374	0.8888748374	1.0	
ISIC_0000024	0.7467214679	0.2930561653	0.3857944865	0.2532785321	0.0	0.2389996089	0.2389996089	1.0	
ISIC_0000023	0.9849229925	0.5046226707	0.9591157856	0.01507700752	0.01798597965	0.9214433002	0.9984372974	0.9820140203	
ISIC_0000015	0.9802506525	0.4433111349	0.9580632316	0.01974934747	0.02278835655	0.9195022775	0.9905557329	0.9772116435	
ISIC_0000012	0.9864876243	0.4869849732	0.881629825	0.01351237571	0.01422703069	0.7883166457	0.9999746489	0.9857729693	
ISIC_0000046	0.9304276285	0.412098684	0.8994062384	0.06957237152	0.0	0.8172009235	0.8172009235	1.0	
ISIC_0000041	0.9368309839	0.4490903113	0.6868701613	0.06316901608	0.06787131899	0.5230786332	1.0	0.932128681	
ISIC_0000048	0.987604946	0.5115238798	0.9488781962	0.01239505399	0.0	0.9027290583	0.9027290583	1.0	
ISIC_0000030	0.8095712914	0.3532808643	0.764309784	0.1904287086	0.002866523047	0.6185286361	0.620317652	0.997133477	
ISIC_0000008	0.9553065926	0.4248847986	0.9377662352	0.04469340736	0.0663221195	0.8828247288	0.9977659755	0.9336778805	
ISIC_0000037	0.934037724	0.4509617024	0.9168823054	0.06596227597	0.0	0.8465213983	0.8465213983	1.0	
ISIC_0000001	0.9632938457	0.5118723086	0.7934532142	0.03670615431	0.03949037068	0.6576232463	1.0	0.9605096293	
ISIC_0000039	0.9194777906	0.4932429615	0.8460221719	0.08052220945	0.1033942985	0.7331355519	1.0	0.8966057015	
ISIC_0000006	0.9903288028	0.4663544958	0.9481984598	0.009671197157	0.007114013835	0.9014994023	0.9650064674	0.9928859862	
ISIC_0000038	0.9116303969	0.4378847811	0.9076136981	0.08836960311	0.0	0.8308541553	0.8308541553	1.0	
ISIC_0000007	0.9845038871	0.5384801751	0.919128368	0.0154961129	0.01699244733	0.8503584892	1.0	0.9830075527	
ISIC_0000000	0.9683405751	0.5523419992	0.9673368984	0.03165942486	0.05795800925	0.9367400625	0.9980283044	0.9420419907	
ISIC_0000009	0.9835381707	0.4372958656	0.9647308348	0.01646182932	0.01330452015	0.9318647433	0.9730498644	0.9866954798	
ISIC_0000036	0.7988935322	0.2785799749	0.6553590208	0.2011064678	0.0	0.4873858754	0.4873858754	1.0	
ISIC_0000031	0.7712712954	0.2676020241	0.4599230458	0.2287287046	0.0	0.2986364055	0.2986364055	1.0	
ISIC_0000044	0.9933946441	0.5124487558	0.9935032588	0.006605355898	0.003287492743	0.987090388	0.9902075455	0.9967125073	
ISIC_0000043	0.9256620668	0.3393980556	0.9145141181	0.07433793321	0.1050259076	0.8424928719	0.9698227631	0.8949740924	
ISIC_0000017	0.9902739432	0.4982140792	0.9692567448	0.009726056763	0.01035353694	0.9403474046	0.9937133805	0.9896464631	
ISIC_0000028	0.9915230481	0.4813811915	0.9825854034	0.008476951925	0.009933638829	0.9657669613	0.9961339669	0.9900663612	
ISIC_0000010	0.9904397901	0.5318608441	0.9443007492	0.009560209932	0.00994561232	0.8944789423	0.9947853049	0.9900543877	
ISIC_0000026	0.7145945621	0.3796333867	0.6349298181	0.2854054379	0.0	0.4651261353	0.4651261353	1.0	
ISIC_0000019	0.9749183753	0.5016888566	0.9596966436	0.02508162467	0.00323411672	0.9225161466	0.9288124354	0.9967658833	
ISIC_0000021	0.9440594199	0.2367236059	0.8762445508	0.05594058007	0.0	0.7797466535	0.7797466535	1.0	
ISIC_0000042	0.9350612715	0.3617876454	0.9019265679	0.06493872849	0.04260758868	0.821371815	0.8907753473	0.9573924113	
ISIC_0000045	0.9642011618	0.5481443335	0.9411071701	0.03579883817	0.0	0.8887652683	0.8887652683	1.0	
ISIC_0000020	0.9786533225	0.4638691403	0.953430557	0.02134667753	0.0004251628242	0.9110055365	0.9122351541	0.9995748372	
ISIC_0000027	0.9862262782	0.5034292824	0.9626275151	0.0137737218	0.001068451444	0.9279478	0.9321664103	0.9989315486	
ISIC_0000018	0.9867533639	0.4086107523	0.9712640962	0.01324663607	0.002015391241	0.9441335648	0.9503081211	0.9979846088	
ISIC_0000011	0.7203861845	0.479387324	0.5762470033	0.2796138155	0.0	0.4047380442	0.4047380442	1.0	
ISIC_0000016	0.9402238115	0.5317667161	0.8724274906	0.05977618852	0.07080478583	0.7737218523	0.9821915709	0.9291952142	
ISIC_0000029	0.9681398762	0.5330730065	0.9604618377	0.03186012382	0.05086855198	0.9239312922	0.9981619239	0.949131448	
ISIC_0000034	0.9945265533	0.4828695552	0.9868525288	0.005473446658	0.006201243364	0.9740462833	0.9973322887	0.9937987566	
ISIC_0000033	0.5602938959	0.3902590412	0.04291713455	0.4397061041	0.0	0.0219291351	0.0219291351	1.0	
ISIC_0000005	0.945202928	0.3617925843	0.8712294271	0.05479707198	0.0	0.7718392453	0.7718392453	1.0	
ISIC_0000002	0.9571984783	0.3522824156	0.9251028549	0.04280152167	0.0	0.8606431408	0.8606431408	1.0	
ISIC_0000003	0.9475795855	0.5282144994	0.9277326472	0.05242041451	0.07886994612	0.8652064663	0.9997157239	0.9211300539	
ISIC_0000004	0.8719411538	0.6150665634	0.8115359197	0.1280588462	0.08976586206	0.6828442973	0.7992315543	0.9102341379	
ISIC_0000032	0.9221632776	0.3800566619	0.865946674	0.07783672239	0.0	0.7635854983	0.7635854983	1.0	
ISIC_0000035	0.9319918069	0.468935046	0.9212014764	0.06800819309	0.0	0.8539142909	0.8539142909	1.0	
ISIC_0000050	0.8911953715	0.1355506784	0.7612035984	0.1088046285	0.0002329617975	0.6144703015	0.6148346738	0.9997670382	
