filename	AC Accuracy V0	Compact PPM V0	DICE V0	ER V0	FPR V0	Jaccard V0	SE Sensitivity V0	SP Specificity V0	
ISIC_0000000	0.9683405751	0.5523419992	0.9673368984	0.03165942486	0.05795800925	0.9367400625	0.9980283044	0.9420419907	
ISIC_0000001	0.9632938457	0.5118723086	0.7934532142	0.03670615431	0.03949037068	0.6576232463	1.0	0.9605096293	
ISIC_0000002	0.9571984783	0.3522824156	0.9251028549	0.04280152167	0.0	0.8606431408	0.8606431408	1.0	
ISIC_0000003	0.9475795855	0.5282144994	0.9277326472	0.05242041451	0.07886994612	0.8652064663	0.9997157239	0.9211300539	
ISIC_0000005	0.945202928	0.3617925843	0.8712294271	0.05479707198	0.0	0.7718392453	0.7718392453	1.0	
ISIC_0000006	0.9903288028	0.4663544958	0.9481984598	0.009671197157	0.007114013835	0.9014994023	0.9650064674	0.9928859862	
ISIC_0000007	0.9845038871	0.5384801751	0.919128368	0.0154961129	0.01699244733	0.8503584892	1.0	0.9830075527	
ISIC_0000008	0.9553065926	0.4248847986	0.9377662352	0.04469340736	0.0663221195	0.8828247288	0.9977659755	0.9336778805	
ISIC_0000009	0.9835381707	0.4372958656	0.9647308348	0.01646182932	0.01330452015	0.9318647433	0.9730498644	0.9866954798	
ISIC_0000010	0.9904397901	0.5318608441	0.9443007492	0.009560209932	0.00994561232	0.8944789423	0.9947853049	0.9900543877	
